amoblado,amount_max_bs,amount_max_usd,bathroom,baulera,bedroom,dimension,elevator,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,longitud,pool,price,status,year_built
0,40002059.0,5831204.0,4.0,0,3.0,300,0,1743,,11955,1594,10933,3,540390,1,1,-16.522032,-68.061562,0,315000,2,
0,40002059.0,5831204.0,6.0,0,5.0,280,0,1770,,12145,1619,11107,3,541686,1,1,-16.514523999999998,-68.05901300000001,0,320000,2,2012.0
0,40002059.0,5831204.0,5.0,0,5.0,530,0,6086,,41749,5566,38180,5,541005,1,1,-16.529293,-68.102722,0,1100000,2,1997.0
0,40002059.0,5831204.0,3.0,0,3.0,180,0,1964,,13474,1796,12322,5,541474,1,1,-16.56741,-68.08976700000001,0,355000,2,
0,40002059.0,5831204.0,5.0,0,5.0,300,0,1494,,10248,1366,9371,2,526426,1,1,-16.536985,-68.04244200000001,0,270000,2,2005.0
0,40002059.0,5831204.0,4.0,0,2.0,48855,0,26843,24533.48,184143,24548,168400,3,507792,1,1,-16.519257,-68.06399499999999,0,4851748,2,2015.0
0,40002059.0,5831204.0,5.0,0,4.0,492,0,1909,2387.16,13094,1746,11975,2,520490,1,1,-16.522589,-68.059662,0,345000,2,2008.0
0,40002059.0,5831204.0,4.0,0,3.0,298,0,948,,6506,867,5950,2,524036,1,1,-16.518895999999998,-68.059227,0,150000,2,
0,40002059.0,5831204.0,4.0,0,4.0,292,0,1438,,9868,1316,9024,3,523613,1,1,-16.547642,-68.078094,0,260000,2,
0,40002059.0,5831204.0,5.0,0,4.0,420,0,3043,,20875,2783,19090,1,527284,1,1,-16.516829,-68.064293,0,550000,2,
0,40002059.0,5831204.0,4.0,0,3.0,139,0,923,,6333,844,5791,1,528795,1,1,-16.531359,-68.056221,0,146000,2,
0,40002059.0,5831204.0,5.0,0,3.0,320,0,1599,,10969,1462,10031,4,529400,1,1,-16.559488,-68.09288000000001,0,289000,1,2019.0
0,40002059.0,5831204.0,4.0,0,4.0,350,0,2102,2618.61,14422,1923,13189,2,519594,1,1,-16.614521,-68.067787,0,380000,2,
0,40002059.0,5831204.0,3.0,0,4.0,305,0,1454,,9976,1330,9124,2,528098,1,1,-16.517692999999998,-68.078026,0,230000,2,2016.0
0,40002059.0,5831204.0,7.0,0,4.0,560,0,2130,,14612,1948,13363,4,529491,1,1,-16.557596,-68.102875,0,385000,1,2019.0
0,40002059.0,5831204.0,6.0,0,5.0,515,0,4481,,30743,4098,28114,4,534783,1,1,-16.500849,-68.082352,0,810000,2,1999.0
0,40002059.0,5831204.0,8.0,0,6.0,690,0,3375,,23152,3086,21173,2,537843,1,1,-16.544395,-68.065979,0,610000,2,
0,40002059.0,5831204.0,7.0,0,5.0,425,0,2683,,18408,2454,16834,3,535961,1,1,-16.523042999999998,-68.06691,0,485000,2,2010.0
0,40002059.0,5831204.0,6.0,0,5.0,477,0,2462,,16889,2252,15446,3,535971,1,1,-16.542171,-68.076035,0,445000,2,
0,40002059.0,5831204.0,7.0,0,9.0,423,0,1252,,8588,1145,7854,3,536833,1,1,-16.510656,-68.061501,0,198000,1,
0,40002059.0,5831204.0,4.0,0,3.0,190,0,1043,,7157,954,6545,2,537014,1,1,-16.530199,-68.051765,0,165000,2,2009.0
0,40002059.0,5831204.0,3.0,0,9.0,416,0,1826,,12525,1670,11454,0,536963,1,1,-16.497734,-68.090775,0,330000,2,
1,46605679.0,6793831.0,4.0,0,3.0,325,0,868,1064.26,5957,792,5430,2,310279,1,1,-16.507460000000002,-68.041359,0,140000,2,
0,40002059.0,5831204.0,6.0,0,4.0,375,0,2268,,15561,2074,14231,2,543660,1,1,-16.546511,-68.069405,0,410000,2,
0,40002059.0,5831204.0,15.0,0,13.0,1438,0,7746,,53135,7084,48593,8,537849,1,1,-16.544447,-68.065163,0,1400000,2,
0,40002059.0,5831204.0,6.0,0,4.0,345,0,1992,,13663,1821,12495,3,543669,1,1,-16.514828,-68.060257,0,360000,2,
0,40002059.0,5831204.0,6.0,0,3.0,300,0,2434,,16700,2226,15272,3,544180,1,1,-16.550678,-68.085625,0,440000,1,2010.0
0,40002059.0,5831204.0,6.0,0,4.0,775,0,4149,,28465,3795,26032,4,544801,1,1,-16.547335,-68.07154799999999,0,750000,2,2001.0
0,40002059.0,5831204.0,5.0,0,4.0,620,0,4924,6808.61,33779,4503,30891,5,465858,1,1,-16.537254,-68.072968,0,890000,2,
0,40002059.0,5831204.0,7.0,0,7.0,550,0,3596,4551.84,24670,3289,22561,4,435921,1,1,-16.543509,-68.06154599999999,0,650000,2,1992.0
0,40002059.0,5831204.0,5.0,0,4.0,500,0,3154,3979.47,21634,2884,19784,3,465843,1,1,-16.489689000000002,-68.119293,0,570000,2,
0,40002059.0,5831204.0,3.0,0,9.0,570,0,1992,,13663,1821,12495,5,543428,1,1,-16.514051000000002,-68.12796,0,360000,2,1990.0
0,40002059.0,5831204.0,3.0,0,3.0,308,0,1494,,10248,1366,9371,3,543546,1,1,-16.549068,-68.073402,0,270000,2,1999.0
0,40002059.0,5831204.0,5.0,0,4.0,400,0,6639,,45545,6072,41651,2,541891,1,1,-16.540976999999998,-68.085983,0,1200000,2,
0,40002059.0,5831204.0,4.0,0,4.0,185,0,1043,,7157,954,6545,1,539383,1,1,-16.601361999999998,-68.07060200000001,0,165000,1,2018.0
0,40002059.0,5831204.0,8.0,0,35.0,1500,0,7082,,48581,6476,44428,6,540828,1,1,-16.486256,-68.141586,0,1280000,2,
0,40002059.0,5831204.0,5.0,0,4.0,557,0,7303,,50099,6679,45816,3,544110,1,1,-16.541328,-68.08330500000001,0,1320000,2,1990.0
0,40002059.0,5831204.0,8.0,0,14.0,600,0,2545,,17459,2327,15966,1,544221,1,1,-16.512918,-68.140167,0,460000,2,2005.0
0,40002059.0,5831204.0,7.0,0,5.0,485,0,1533,,10513,1402,9614,2,540081,1,1,-16.548794,-68.072678,0,277000,2,
0,40002059.0,5831204.0,5.0,0,5.0,400,0,1494,,10248,1366,9371,3,537631,1,1,-16.523371,-68.07356300000001,0,270000,2,2015.0
0,40002059.0,5831204.0,4.0,0,5.0,240,0,1454,,9976,1330,9124,2,536303,1,1,-16.520874,-68.105103,0,230000,2,2000.0
0,40002059.0,5831204.0,3.0,0,3.0,270,0,1359,,9326,1243,8529,3,539928,1,1,-16.516417,-68.05875400000001,0,215000,1,2017.0
0,40002059.0,5831204.0,4.0,0,4.0,350,0,1920,,13170,1756,12044,4,534512,1,1,-16.517717,-68.083733,0,347000,2,
0,40002059.0,5831204.0,5.0,0,4.0,391,0,1518,,10410,1388,9520,2,535384,1,1,-16.541451000000002,-68.058144,0,240000,2,
0,40002059.0,5831204.0,2.0,0,4.0,238,0,1328,,9109,1214,8330,3,527067,1,1,-16.525211,-68.107231,0,210000,2,1984.0
0,40002059.0,5831204.0,4.0,0,3.0,285,0,1909,,13094,1746,11975,3,534533,1,1,-16.53096,-68.069786,0,345000,2,2005.0
0,40002059.0,5831204.0,4.0,0,3.0,380,0,1516,,10399,1386,9510,3,534372,1,1,-16.563084,-68.09684,0,274000,2,
