address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
FCV29540 – COMPRA ESTA CASA EN KOANI,0,40002059,5831204,ENABLED,6,0,6,UC-532239, no social con 20% de aporte propio. ,06/04/2019,354,0,Inmediata,1936,,13284,1771,12148,3,532239,1,1,-16.533255,La Paz,-68.080299,$us,Koani,0,350000,La Paz,2,Casa,Venta,,
IMPERDIBLE!!!  CASA A SOLO $us.320.000.-  ACHUMANI,0,40002059,5831204,ENABLED,5,0,4,UC-523979, no social con 20% de aporte propio. ,11/02/2019,460,0,Inmediata,1770,,12145,1619,11107,6,523979,1,1,-16.523577,La Paz,-68.052597,$us,Achumani,0,320000,La Paz,2,Casa,Venta,,2012
Sanchez Lima,0,40002059,5831204,ENABLED,8,0,7,UC-531055, no social con 20% de aporte propio. ,02/03/2019,550,0,Inmediata,3541,,24290,3238,22214,2,531055,1,1,-16.509914,La Paz,-68.129486,$us,Sopocachi,0,639999,La Paz,2,Casa,Venta,,1990
$us.320.000.-  HERMOSA CASA  MALLASILLA (INICIO),0,40002059,5831204,ENABLED,5,0,5,UC-522504, no social con 20% de aporte propio. ,11/02/2019,380,0,Inmediata,1770,,12145,1619,11107,4,522504,1,1,-16.56274,La Paz,-68.099571,$us,Mallasilla,0,320000,La Paz,2,Casa,Venta,,2015
"ACHUMANI,  AV. THE STRONGEST CALLE 40 ",0,40002059,5831204,ENABLED,5,0,4,UC-524108, no social con 20% de aporte propio. ,20/02/2019,500,0,Inmediata,3043,,20875,2783,19090,2,524108,1,1,-16.512735,La Paz,-68.057358,$us,Achumani,0,550000,La Paz,2,Casa,Venta,,1997
Achumani,0,40002059,5831204,ENABLED,4,0,3,UC-524509, no social con 20% de aporte propio. ,12/02/2019,310,0,Inmediata,2324,,15941,2125,14578,3,524509,1,1,-16.535515,La Paz,-68.075829,$us,Achumani,0,420000,La Paz,2,Casa,Venta,,1985
Obrajes,0,40002059,5831204,ENABLED,5,0,5,UC-524564, no social con 20% de aporte propio. ,12/02/2019,720,0,Inmediata,4902,,33627,4483,30752,5,524564,1,1,-16.523424,La Paz,-68.108078,$us,Obrajes,0,886000,La Paz,2,Casa,Venta,,1980
FCV28858 – COMPRA TU CASA EN ACHUMANI,0,40002059,5831204,ENABLED,5,0,4,UC-527283, no social con 20% de aporte propio. ,06/04/2019,420,0,Inmediata,3043,,20875,2783,19090,1,527283,1,1,-16.516829,La Paz,-68.064293,$us,Achumani,0,550000,La Paz,2,Casa,Venta,,
Urbanizacion sequoia ,0,40002059,5831204,ENABLED,5,0,4,UC-524768, no social con 20% de aporte propio. ,10/03/2019,405,0,Inmediata,3154,,21634,2884,19784,3,524768,1,1,-16.55624,La Paz,-68.112061,$us,Aranjuez,0,570000,La Paz,2,Casa,Venta,,
Achumani,0,40002059,5831204,ENABLED,6,0,4,UC-526187, no social con 20% de aporte propio. ,15/02/2019,460,0,Inmediata,1770,,12145,1619,11107,8,526187,1,1,-16.523289,La Paz,-68.054382,$us,Achumani,0,320000,La Paz,2,Casa,Venta,,2010
$us. 145.000.-  CASA EN VENTA  IMPERDIBLE!!!,0,40002059,5831204,ENABLED,3,0,3,UC-523999, no social con 20% de aporte propio. ,14/02/2019,230,0,Inmediata,917,,6290,838,5752,1,523999,1,1,-16.544804,La Paz,-68.046806,$us,El Pedregal,0,145000,La Paz,1,Casa,Venta,,2018
Aranjuez,0,40002059,5831204,ENABLED,3,0,4,UC-527597, no social con 20% de aporte propio. ,19/02/2019,300,0,Inmediata,1936,,13284,1771,12148,3,527597,1,1,-16.560846,La Paz,-68.091507,$us,Aranjuez,0,350000,La Paz,2,Casa,Venta,,
"KOANI, Urb. Los Claveles, calle 3",0,40002059,5831204,ENABLED,7,0,6,UC-527208, no social con 20% de aporte propio. ,18/02/2019,408,0,Inmediata,1936,,13284,1771,12148,1,527208,1,1,-16.521027,La Paz,-68.0821,$us,Koani,0,350000,La Paz,1,Casa,Venta,,2018
