address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
FCA27668 – ALQUILA ESTA CASA EN ACHUMANI,0,,,ENABLED,5,0,3,UC-517425,,24/04/2019,390,600,0,Inmediata,0,,0,0,0,4,517425,29,1,2,-16.509756,La Paz,-68.05304,$us,Achumani,0,2500,La Paz,2,Casa,Alquiler,,
FCA14500 – ALQUILA TU CASA EN EL CLUB GOLF,0,,,ENABLED,5,0,3,UC-433569,,24/04/2019,600,400,0,Inmediata,0,,0,0,0,3,433569,192,1,2,-15.089242,La Paz,-68.524712,$us,Mallasilla,0,2000,La Paz,2,Casa,Alquiler,,
FCA27668 – ALQUILA ESTA CASA EN ACHUMANI,0,,,ENABLED,5,0,3,UC-517424,,24/04/2019,390,600,0,Inmediata,0,,0,0,0,4,517424,29,1,2,-16.509756,La Paz,-68.05304,$us,Achumani,0,2500,La Paz,2,Casa,Alquiler,,
Linda residencia en ALQUILER,0,,,ENABLED,5,0,4,UC-517159,,27/01/2019,320,400,0,Inmediata,0,,0,0,0,3,517159,29,1,2,-16.526293,La Paz,-68.073517,$us,Achumani,0,1500,La Paz,2,Casa,Alquiler,10000.00 $us,2010
Achumani,0,,,ENABLED,5,0,3,UC-435590,,01/04/2019,462,548,0,Inmediata,0,,0,0,0,4,435590,29,1,2,-16.518023,La Paz,-68.062317,$us,Achumani,0,2000,La Paz,2,Casa,Alquiler,2000.00 $us,2005
FCA14558 – ALQUILA TU CASA EN ACHUMANI,0,,,ENABLED,7,0,5,UC-434558,,24/04/2019,680,950,0,Inmediata,0,,0,0,0,3,434558,29,1,2,-16.520388,La Paz,-68.061852,$us,Achumani,0,4800,La Paz,2,Casa,Alquiler,,
FCA14558 – ALQUILA TU CASA EN ACHUMANI,0,,,ENABLED,7,0,5,UC-465796,,24/04/2019,680,950,0,Inmediata,0,,0,0,0,3,465796,29,1,2,-16.52001,La Paz,-68.062691,$us,Achumani,0,4800,La Paz,2,Casa,Alquiler,,
Casa en alquiler Irpavi ,0,,,ENABLED,6,0,4,UC-517819,,29/01/2019,400,600,0,Inmediata,0,,0,0,0,2,517819,37,1,2,-16.505924,La Paz,-68.082748,$us,Irpavi,0,1200,La Paz,1,Casa,Alquiler,,2017
Casa en Anticretico ,0,,,ENABLED,5,0,5,UC-507587,,10/01/2019,480,520,0,Inmediata,0,,0,0,0,3,507587,29,1,3,-16.518723,La Paz,-68.061417,$us,Achumani,0,115000,La Paz,1,Casa,Anticretico,,2010
"FCA803 – CASA EN ANTICRETICO, UMAMANTA",0,48463835,7064699,ENABLED,3,0,3,UC-192358, social. ,24/04/2019,232,0,0,Inmediata,567,700.17,3887,513,3520,2,192358,179,1,3,-16.607626,La Paz,-68.070259,$us,Río Abajo,0,95000,La Paz,1,Casa,Anticretico,,
"FCA25826 – CASA EN ANTICRETICO, ACHUMANI",0,,,ENABLED,4,0,5,UC-510064,,24/04/2019,480,300,0,Inmediata,0,,0,0,0,2,510064,29,1,3,-16.521894,La Paz,-68.057137,$us,Achumani,0,95000,La Paz,2,Casa,Anticretico,,
