address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
"Bolognia Calle 11 PRE VENTA
",0,48463835,7064699,ENABLED,3,0,3,UC-388936, social. ,13/04/2019,112,0,0,12/2019,512,521.57,3515,464,3183,1,388936,31,2,1,-16.518818,La Paz,-68.09182,$us,Bolognia,0,85900,La Paz,1,Departamento,Venta,,2019
Calle 11,0,48463835,7064699,ENABLED,3,0,3,UC-388973, social. ,18/02/2019,112,0,0,04/2019,512,521.57,3515,464,3183,1,388973,31,2,1,-16.518867,La Paz,-68.091553,$us,Bolognia,0,85900,La Paz,1,Departamento,Venta,,2018
PLAZA ABAROA ,0,40002059,5831204,ENABLED,5,0,4,UC-391038, no social con 20% de aporte propio. ,15/01/2019,231,0,0,Inmediata,1511,1668.58,10367,1382,9481,0,391038,47,2,1,-16.510511,La Paz,-68.127464,$us,Sopocachi,0,239000,La Paz,2,Departamento,Venta,,
Calacoto,0,40002059,5831204,ENABLED,3,0,4,UC-394387, no social con 20% de aporte propio. ,08/07/2018,280,0,0,Inmediata,1743,2168.91,11955,1594,10933,2,394387,32,2,1,-16.540731,La Paz,-68.086075,$us,Calacoto,0,315000,La Paz,2,Departamento,Venta,,
FDV12985 – COMPRA TU DEPARTAMENTO EN CALACOTO,0,40002059,5831204,ENABLED,5,1,3,UC-465848, no social con 20% de aporte propio. ,24/04/2019,198,198,0,Inmediata,1233,1354.77,8458,1128,7735,1,465848,52,2,1,-16.541365,La Paz,-68.073463,$us,Los Pinos,0,195000,La Paz,2,Departamento,Venta,,
FDV13225 – COMPRA TU DEPARTAMENTO EN ALTO SEGUENCOMA,0,40002059,5831204,ENABLED,2,1,2,UC-465845, no social con 20% de aporte propio. ,24/04/2019,0,148,0,Inmediata,790,868.45,5422,723,4958,1,465845,46,2,1,-16.53425,La Paz,-68.103386,$us,Seguencoma,0,125000,La Paz,1,Departamento,Venta,,
"Calle 30 Cota Cota
2A",0,48463835,7064699,ENABLED,2,0,3,UC-388946, social. ,21/01/2019,103,0,0,Inmediata,596,698.15,4092,540,3706,1,388946,35,2,1,-16.54343,La Paz,-68.063393,$us,Cota Cota,0,100000,La Paz,2,Departamento,Venta,,
Departamento en venta Irpavi,0,48463835,7064699,ENABLED,3,0,2,UC-427427, social. ,03/09/2018,103,0,0,Inmediata,596,689.67,4092,540,3706,1,427427,37,2,1,-16.505594,La Paz,-68.083435,$us,Irpavi,0,100000,La Paz,1,Departamento,Venta,,2018
FDV12985 – COMPRA TU DEPARTAMENTO EN CALACOTO,0,40002059,5831204,ENABLED,5,1,3,UC-405436, no social con 20% de aporte propio. ,24/04/2019,198,198,0,Inmediata,1233,1342.66,8458,1128,7735,1,405436,52,2,1,-16.541365,La Paz,-68.073463,$us,Los Pinos,0,195000,La Paz,2,Departamento,Venta,,
FDV13225 – COMPRA TU DEPARTAMENTO EN ALTO SEGUENCOMA,0,40002059,5831204,ENABLED,2,1,2,UC-413732, no social con 20% de aporte propio. ,24/04/2019,0,148,0,Inmediata,790,868.45,5422,723,4958,1,413732,46,2,1,-16.53425,La Paz,-68.103386,$us,Seguencoma,0,125000,La Paz,2,Departamento,Venta,,
FDV14210 – COMPRA TU DUPLEX EN IRPAVI,0,40002059,5831204,ENABLED,5,0,3,UC-465809, no social con 20% de aporte propio. ,24/04/2019,0,180,0,Inmediata,1144,1257.51,7851,1047,7180,2,465809,37,2,1,-16.525789,La Paz,-68.088387,$us,Irpavi,0,181000,La Paz,2,Departamento,Venta,,
Achumani,0,40002059,5831204,ENABLED,3,0,3,UC-434925, no social con 20% de aporte propio. ,15/08/2018,150,0,0,Inmediata,980,1068.99,6723,896,6148,2,434925,29,2,1,-16.529013,La Paz,-68.070343,$us,Achumani,0,155000,La Paz,2,Departamento,Venta,,2004
