address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Inicio de Irpavi 2,0,40002059,5831204,ENABLED,6,0,4,UC-512141, no social con 20% de aporte propio. ,15/01/2019,380,0,Inmediata,1920,2422.59,13170,1756,12044,5,512141,1,1,-16.504696,La Paz,-68.082527,$us,Irpavi,0,347000,La Paz,2,Casa,Venta,,
Jupapina,0,40002059,5831204,ENABLED,5,0,4,UC-550803, no social con 20% de aporte propio. ,25/04/2019,450,0,Inmediata,2490,,17079,2277,15619,3,550803,1,1,-16.594578,La Paz,-68.069328,$us,Río Abajo,0,450000,La Paz,2,Casa,Venta,,2000
LUJOSA CASA EN VENTA ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-512010, no social con 20% de aporte propio. ,22/04/2019,220,0,Inmediata,1536,1745.38,10540,1405,9639,4,512010,1,1,-16.514318,La Paz,-68.054382,$us,Achumani,0,243000,La Paz,1,Casa,Venta,,2019
LA FLORIDA SECTOR LOS SAUCES,0,40002059,5831204,ENABLED,6,0,4,UC-513888, no social con 20% de aporte propio. ,22/02/2019,581,0,Inmediata,2766,3839.84,18977,2530,17355,2,513888,1,1,-16.551058,La Paz,-68.085579,$us,La Florida,0,500000,La Paz,2,Casa,Venta,,2017
CASAS EN VENTA  A ESTRENAR LA FLORIDA ,0,40002059,5831204,ENABLED,5,0,3,UC-514339, no social con 20% de aporte propio. ,02/04/2019,406,0,Inmediata,2677,3804.93,18362,2448,16792,2,514339,1,1,-16.548426,La Paz,-68.085754,$us,La Florida,0,483800,La Paz,1,Casa,Venta,,2019
CHASQUIPAMAPA ,0,40002059,5831204,ENABLED,5,0,3,UC-514284, no social con 20% de aporte propio. ,27/01/2019,295,0,Inmediata,1549,1954.83,10627,1417,9719,3,514284,1,1,-16.538839,La Paz,-68.047729,$us,Chasquipampa,0,280000,La Paz,2,Casa,Venta,,2014
Achumani calle 39,0,40002059,5831204,ENABLED,5,0,4,UC-518925, no social con 20% de aporte propio. ,05/02/2019,260,0,Inmediata,2047,2583.16,14043,1872,12842,2,518925,1,1,-16.514154,La Paz,-68.058319,$us,Achumani,0,370000,La Paz,2,Casa,Venta,,
Irpavi calle 14,0,40002059,5831204,ENABLED,5,0,4,UC-519566, no social con 20% de aporte propio. ,06/02/2019,385,0,Inmediata,1853,2317.97,12715,1695,11628,2,519566,1,1,-16.518499,La Paz,-68.086853,$us,Irpavi,0,335000,La Paz,2,Casa,Venta,,
EN VENTA CASA: ACHUMANI ,0,40002059,5831204,ENABLED,6,0,5,UC-428047, no social con 20% de aporte propio. ,02/02/2019,494,0,Inmediata,3430,4289.97,23531,3137,21520,4,428047,1,1,-16.513044,La Paz,-68.056694,$us,Achumani,0,620000,La Paz,2,Casa,Venta,,2007
"Calle 4 y LL, zona Bella Vista",0,44130787,6433059,ENABLED,1,0,2,UC-550391, social. ,24/04/2019,500,0,05/2019,203,,1396,183,1255,0,550391,1,1,-16.526003,La Paz,-68.096222,$us,Bella Vista,0,35500,La Paz,2,Casa,Venta,,1991
San Miguel,0,40002059,5831204,ENABLED,5,0,5,UC-446641, no social con 20% de aporte propio. ,22/04/2019,316,0,Inmediata,2324,2689.72,15941,2125,14578,2,446641,1,1,-16.543941,La Paz,-68.079079,$us,San Miguel,0,420000,La Paz,2,Casa,Venta,,
CASA EN VENTA: ACHUMANI JARDINES DEL SUR,0,40002059,5831204,ENABLED,5,0,4,UC-441501, no social con 20% de aporte propio. ,22/08/2018,480,0,Inmediata,3486,4344.94,23911,3188,21867,4,441501,1,1,-16.513536,La Paz,-68.060043,$us,Achumani,0,630000,La Paz,2,Casa,Venta,,2006
Mallasilla,0,40002059,5831204,ENABLED,5,0,3,UC-440051, no social con 20% de aporte propio. ,10/01/2019,401,0,Inmediata,2988,3724.23,20495,2732,18743,3,440051,1,1,-16.571213,La Paz,-68.091972,$us,Mallasilla,0,540000,La Paz,2,Casa,Venta,,1990
"Achumani, preciosa y elegante casa en venta ",0,40002059,5831204,ENABLED,3,0,3,UC-447004, no social con 20% de aporte propio. ,30/08/2018,512,0,Inmediata,3043,3793.20,20875,2783,19090,2,447004,1,1,-16.534685,La Paz,-68.07798,$us,Achumani,0,550000,La Paz,2,Casa,Venta,,
Auquisamaña,0,40002059,5831204,ENABLED,6,0,4,UC-514827, no social con 20% de aporte propio. ,21/01/2019,413,0,Inmediata,1992,2513.35,13663,1821,12495,2,514827,1,1,-16.551336,La Paz,-68.070038,$us,Auquisamaña,0,360000,La Paz,2,Casa,Venta,,
EN VENTA: HERMOSA CASA EN CONDOMINIO PRIVADO,0,40002059,5831204,ENABLED,3,0,3,UC-441529, no social con 20% de aporte propio. ,27/01/2019,670,0,Inmediata,5809,7241.56,39852,5313,36445,3,441529,1,1,-16.543612,La Paz,-68.082893,$us,Calacoto,0,1050000,La Paz,1,Casa,Venta,,2014
LA FLORIDA ,0,40002059,5831204,ENABLED,6,0,4,UC-447242, no social con 20% de aporte propio. ,01/09/2018,1400,0,Inmediata,9405,11724.43,64522,8601,59006,6,447242,1,1,-16.547047,La Paz,-68.088158,$us,La Florida,0,1700000,La Paz,1,Casa,Venta,,
La Florida,0,40002059,5831204,ENABLED,3,0,3,UC-467972, no social con 20% de aporte propio. ,09/02/2019,440,0,Inmediata,2739,3439.04,18787,2505,17181,2,467972,1,1,-16.551388,La Paz,-68.084808,$us,La Florida,0,495000,La Paz,2,Casa,Venta,,
FCV18170 – COMPRA ESTAS CASAS EN LOS ROSALES,0,40002059,5831204,ENABLED,4,0,3,UC-465642, no social con 20% de aporte propio. ,24/04/2019,152,0,Inmediata,942,1035.19,6463,862,5910,3,465642,1,1,-16.547148,La Paz,-68.045662,$us,Chasquipampa,0,149000,La Paz,2,Casa,Venta,,
Irpavi calle 12,0,40002059,5831204,ENABLED,8,0,6,UC-492366, no social con 20% de aporte propio. ,21/11/2018,677,0,Inmediata,4421,5546.58,30325,4043,27733,5,492366,1,1,-16.520359,La Paz,-68.086357,$us,Irpavi,0,799000,La Paz,2,Casa,Venta,,
FCV19460 – COMPRA TU CASA EN COTA COTA,0,40002059,5831204,ENABLED,4,0,4,UC-468599, no social con 20% de aporte propio. ,24/04/2019,307,0,Inmediata,1075,1181.09,7374,983,6744,1,468599,1,1,-16.540758,La Paz,-68.063416,$us,Cota Cota,0,170000,La Paz,2,Casa,Venta,,
Achumani calle 39 plena avenida,0,40002059,5831204,ENABLED,4,0,3,UC-472704, no social con 20% de aporte propio. ,09/12/2018,300,0,Inmediata,1499,1653.28,10280,1370,9401,3,472704,1,1,-16.514236,La Paz,-68.058945,$us,Achumani,0,237000,La Paz,1,Casa,Venta,,
