amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,elevator,garage,id_neighborhood,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,2.0,0,2.0,98,0,0,1,37,-16.521601,-68.08446500000001,Irpavi,100000.0,1,Venta,2018.0,moderado
0,3.0,0,2.0,128,0,0,1,32,-16.540976999999998,-68.090324,Calacoto,160000.0,2,Venta,,bajo
0,1.0,0,2.0,47,0,0,0,29,-16.523433999999998,-68.057487,Achumani,43000.0,2,Venta,,alto
0,1.0,0,2.0,47,0,0,0,29,-16.522465,-68.058273,Achumani,43000.0,2,Venta,,alto
0,2.0,0,3.0,62,0,0,0,29,-16.523654999999998,-68.057793,Achumani,57000.0,2,Venta,,alto
0,2.0,0,1.0,62,102,0,1,37,-16.527054,-68.086632,Irpavi,79000.0,2,Venta,,moderado
0,3.0,0,3.0,162,0,0,1,29,-16.53055,-68.067642,Achumani,180000.0,2,Venta,,alto
0,2.0,0,3.0,79,0,0,0,52,-16.543651999999998,-68.07401999999999,Los Pinos,82000.0,2,Venta,2006.0,moderado
0,3.0,0,2.0,101,0,0,0,47,-16.517899,-68.132599,Sopocachi,100000.0,2,Venta,2012.0,moderado
0,3.0,0,3.0,127,0,0,1,29,-16.522907,-68.064545,Achumani,120536.0,2,Venta,,alto
0,3.0,0,2.0,92,53,0,0,35,-16.537647,-68.06034100000001,Cota Cota,110900.0,2,Venta,,moderado
0,1.0,0,1.0,49,0,0,0,35,-16.544279,-68.060677,Cota Cota,47800.0,1,Venta,,moderado
0,2.0,0,2.0,84,0,0,0,35,-16.537508,-68.060135,Cota Cota,81869.0,2,Venta,,moderado
0,4.0,0,3.0,215,0,0,1,32,-16.539265,-68.084091,Calacoto,255000.0,2,Venta,2011.0,bajo
0,4.0,1,3.0,148,0,0,1,35,-16.54295,-68.063843,Cota Cota,134000.0,2,Venta,,moderado
0,3.0,0,3.0,158,0,0,1,32,-16.539602,-68.082451,Calacoto,220000.0,2,Venta,,bajo
0,4.0,1,3.0,148,0,0,1,35,-16.54295,-68.063843,Cota Cota,134000.0,2,Venta,,moderado
0,4.0,0,3.0,169,0,0,1,39,-16.547356,-68.087814,La Florida,259000.0,2,Venta,2016.0,moderado
0,1.0,0,1.0,0,0,0,1,52,-16.545359,-68.069496,Los Pinos,118000.0,2,Venta,,moderado
0,3.0,0,4.0,176,0,0,1,41,-16.496745999999998,-68.125191,Miraflores,210000.0,1,Venta,2018.0,muy bajo
0,4.0,0,3.0,133,0,0,1,37,-16.527164000000003,-68.086342,Irpavi,145000.0,2,Venta,,moderado
0,1.0,0,1.0,53,0,0,0,41,-16.502613,-68.120125,Miraflores,83000.0,2,Venta,,muy bajo
0,3.0,0,3.0,125,0,0,0,37,-16.509375,-68.086235,Irpavi,124632.0,2,Venta,,moderado
0,3.0,0,3.0,125,0,0,0,37,-16.509375,-68.086235,Irpavi,124632.0,2,Venta,,moderado
0,2.0,0,3.0,94,0,0,1,44,-16.486857999999998,-68.140274,Centro,81840.0,2,Venta,,bajo
0,5.0,1,4.0,272,0,0,2,42,-16.524199,-68.1119,Obrajes,260000.0,2,Venta,,bajo
0,4.0,0,3.0,222,0,0,2,32,-16.539167000000003,-68.083969,Calacoto,350000.0,2,Venta,2017.0,bajo
0,5.0,1,4.0,272,0,0,2,42,-16.524199,-68.1119,Obrajes,260000.0,2,Venta,,bajo
0,3.0,0,3.0,145,0,0,1,29,-16.518557,-68.06231700000001,Achumani,120000.0,1,Venta,2018.0,alto
0,2.0,0,2.0,75,0,0,1,41,-16.501192,-68.121323,Miraflores,103470.0,2,Venta,,muy bajo
0,2.0,0,2.0,81,93,0,1,41,-16.499775,-68.120544,Miraflores,116448.0,2,Venta,,muy bajo
0,2.0,0,2.0,75,0,0,1,41,-16.501829,-68.12359599999999,Miraflores,103470.0,2,Venta,,muy bajo
0,2.0,0,2.0,80,0,0,1,41,-16.500013,-68.12305500000001,Miraflores,110000.0,2,Venta,,muy bajo
0,3.0,0,3.0,157,0,0,1,41,-16.499802,-68.123024,Miraflores,189490.0,2,Venta,,muy bajo
0,2.0,0,2.0,81,93,0,1,41,-16.498596,-68.119331,Miraflores,116448.0,2,Venta,,muy bajo
0,2.0,0,2.0,80,0,0,1,41,-16.501972,-68.119553,Miraflores,110000.0,2,Venta,,muy bajo
0,2.0,0,2.0,113,157,0,1,41,-16.501901999999998,-68.12289399999999,Miraflores,179000.0,2,Venta,,muy bajo
0,3.0,0,3.0,125,0,0,0,37,-16.509293,-68.086334,Irpavi,118750.0,2,Venta,,moderado
0,2.0,0,2.0,113,157,0,1,41,-16.504208,-68.12334399999999,Miraflores,179000.0,2,Venta,,muy bajo
0,3.0,0,3.0,125,0,0,0,37,-16.509293,-68.086334,Irpavi,118750.0,2,Venta,,moderado
0,2.0,0,3.0,94,0,0,1,44,-16.48525,-68.137627,Centro,81840.0,2,Venta,,bajo
0,3.0,0,2.0,88,0,0,1,35,-16.540762,-68.063339,Cota Cota,90000.0,2,Venta,,moderado
0,3.0,0,3.0,157,0,0,1,41,-16.499403,-68.11882800000001,Miraflores,189490.0,2,Venta,,muy bajo
0,3.0,0,3.0,125,0,0,0,37,-16.509293,-68.086334,Irpavi,121250.0,2,Venta,,moderado
0,3.0,0,3.0,145,0,0,0,29,-16.518805,-68.063263,Achumani,120000.0,1,Venta,2018.0,alto
0,2.0,0,2.0,77,0,0,1,44,-16.487161999999998,-68.135727,Centro,70000.0,2,Venta,,bajo
0,3.0,0,4.0,186,0,0,1,44,-16.489079,-68.134674,Centro,135400.0,1,Venta,,bajo
0,4.0,0,3.0,205,0,0,1,29,-16.515759,-68.056442,Achumani,160000.0,1,Venta,2018.0,alto
0,3.0,0,3.0,125,0,0,0,37,-16.509293,-68.086334,Irpavi,121250.0,2,Venta,,moderado
0,4.0,0,3.0,167,0,0,1,42,-16.526332999999997,-68.108215,Obrajes,230000.0,2,Venta,2010.0,bajo
0,3.0,0,4.0,186,0,0,1,44,-16.488708,-68.136398,Centro,135400.0,2,Venta,,bajo
0,4.0,0,3.0,128,0,0,1,33,-16.53965,-68.048218,Chasquipampa,105000.0,1,Venta,,bajo
0,2.0,0,2.0,77,0,0,1,44,-16.483929,-68.135277,Centro,70000.0,2,Venta,,bajo
0,1.0,0,1.0,50,0,0,0,45,-16.506563,-68.135216,San Pedro,80000.0,2,Venta,,moderado
0,4.0,0,3.0,170,0,0,2,29,-16.514278,-68.063393,Achumani,165000.0,2,Venta,2012.0,alto
0,4.0,1,3.0,115,0,0,0,41,-16.499689,-68.11752299999999,Miraflores,114000.0,2,Venta,,muy bajo
0,1.0,0,1.0,60,0,0,0,47,-16.51189,-68.123047,Sopocachi,72000.0,2,Venta,2005.0,moderado
